Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
41309 , 42.38 , 4.25 , 105 , 87.27
41353 , 45.25 , 4.50 , 113 , 87.35
41397 , 45.13 , 4.50 , 112 , 87.35
41441 , 45.13 , 4.25 , 112 , 87.27
41485 , 45.25 , 4.25 , 113 , 87.27
41529 , 41.63 , 2.75 , 104 , 86.82
41573 , 44.38 , 2.75 , 110 , 86.82
41617 , 44.38 , 2.75 , 110 , 86.82
41661 , 44.38 , 3.00 , 110 , 86.90
41705 , 44.38 , 2.75 , 110 , 86.82
41749 , 41.63 , 2.75 , 104 , 86.82
41793 , 44.38 , 2.75 , 110 , 86.82
41837 , 45.25 , 2.75 , 113 , 86.82
41881 , 45.13 , 2.75 , 112 , 86.82
41925 , 45.25 , 2.75 , 113 , 86.82
41968 , 42.38 , 4.50 , 105 , 87.35
42012 , 45.25 , 4.50 , 113 , 87.35
42056 , 45.25 , 4.50 , 113 , 87.35
42100 , 45.13 , 4.50 , 112 , 87.35
42144 , 45.25 , -13.00 , 113 , 82.10
42188 , 42.38 , -24.25 , 105 , 78.72
42232 , 45.13 , -37.00 , 112 , 74.90
42276 , 44.50 , -51.75 , 111 , 70.47
42320 , 44.38 , -65.75 , 110 , 66.27
42364 , 44.38 , -75.50 , 110 , 63.35
42408 , 42.38 , -87.50 , 105 , 59.75
42452 , 45.25 , -95.75 , 113 , 57.28
42497 , 45.25 , -95.75 , 113 , 57.28
42540 , 45.13 , -95.75 , 112 , 57.28
42584 , 45.13 , -95.75 , 112 , 57.28
42628 , 45.25 , -95.50 , 113 , 57.35
42672 , 45.13 , -95.75 , 112 , 57.28
42716 , 45.25 , -95.75 , 113 , 57.28
42760 , 45.25 , -95.75 , 113 , 57.28
42804 , 45.25 , -95.75 , 113 , 57.28
42848 , 44.38 , -95.75 , 110 , 57.28
42892 , 44.38 , -95.50 , 110 , 57.35
42936 , 44.38 , -100.00 , 110 , 56.00
42980 , 44.38 , -95.75 , 110 , 57.28
43024 , 44.38 , -95.75 , 110 , 57.28
43068 , 44.38 , -95.75 , 110 , 57.28
43112 , 45.25 , -95.75 , 113 , 57.28
43156 , 45.13 , -100.00 , 112 , 56.00
43200 , 45.13 , -96.00 , 112 , 57.20
43244 , 45.13 , -97.25 , 112 , 56.82
43288 , 45.25 , -95.75 , 113 , 57.28
43332 , 45.13 , -95.75 , 112 , 57.28
43375 , 45.25 , -100.00 , 113 , 56.00
43419 , 45.13 , -95.75 , 112 , 57.28
43463 , 45.25 , -95.50 , 113 , 57.35
43507 , 45.25 , -95.75 , 113 , 57.28
43551 , 45.25 , -95.75 , 113 , 57.28
43595 , 45.13 , -100.00 , 112 , 56.00
43639 , 45.25 , -95.75 , 113 , 57.28
43683 , 44.38 , -95.75 , 110 , 57.28
43727 , 44.50 , -95.75 , 111 , 57.28
43771 , 44.38 , -95.50 , 110 , 57.35
43815 , 44.38 , -100.00 , 110 , 56.00
